0501 healthd
0502 emperion
0503 productinfo
0504 iee-qfx
0505 neoiface
0506 netuitive
0508 navbuddy
0509 jwalkserver
050A winjaserver
050B seagulllms
050C dsdn
050D pkt-krb-ipsec
050E cmmdriver
050F eetp
0510 dproxy
0511 sdproxy
0512 lpcp
0513 hp-sci
0514 h323hostcallsc
0515 ci3-software-1
0516 ci3-software-2
0517 sftsrv
0518 boomerang
0519 pe-mike
051A re-conn-proto
051B pacmand
051C odsi
051D jtag-server
051E husky
051F rxmon
0520 sti-envision
0521 bmc-patroldb
0522 pdps
0523 els
0524 exbit-escp
0525 vrts-ipcserver
0526 krb5gatekeeper
0527 panja-icsp
0528 panja-axbnet
0529 pip
052A novation
052B brcd
052C delta-mcp
052D dx-instrument
052E wimsic
052F ultrex
0530 ewall
0531 netdb-export
0532 streetperfect
0533 intersan
0534 pcia-rxp-b
0535 passwrd-policy
0536 writesrv
0537 digital-notary
0538 ischat
0539 menandmice-dns
053A wmc-log-svc
053B kjtsiteserver
053C naap
053D qubes
053E esbroker
053F re101
0540 icap
0541 vpjp
0542 alta-ana-lm
0543 bbn-mmc
0544 bbn-mmx
0545 sbook
0546 editbench
0547 equationbuilder
0548 lotusnote
0549 relief
054A rightbrain
054B intuitive-edge
054C cuillamartin
054D pegboard
054E connlcli
054F ftsrv
0550 mimer
0551 linx
0552 timeflies
0553 ndm-requester
0554 ndm-server
0555 adapt-sna
0556 netware-csp
0557 dcs
0558 screencast
0559 gv-us
055A us-gv
055B fc-cli
055C fc-ser
055D chromagrafx
055E molly
055F bytex
0560 ibm-pps
0561 cichlid
0562 elan
0563 dbreporter
0564 telesis-licman
0565 apple-licman
0566 udt_os
0567 gwha
0568 os-licman
0569 atex_elmd
056A checksum
056B cadsi-lm
056C objective-dbc
056D iclpv-dm
056E iclpv-sc
056F iclpv-sas
0570 iclpv-pm
0571 iclpv-nls
0572 iclpv-nlc
0573 iclpv-wsm
0574 dvl-activemail
0575 audio-activmail
0576 video-activmail
0577 cadkey-licman
0578 cadkey-tablet
0579 goldleaf-licman
057A prm-sm-np
057B prm-nm-np
057C igi-lm
057D ibm-res
057E netlabs-lm
057F dbsa-lm
0580 sophia-lm
0581 here-lm
0582 hiq
0583 af
0584 innosys
0585 innosys-acl
0586 ibm-mqseries
0587 dbstar
0588 novell-lu6.2
0589 timbuktu-srv1
058A timbuktu-srv2
058B timbuktu-srv3
058C timbuktu-srv4
058D gandalf-lm
058E autodesk-lm
058F essbase
0590 hybrid
0591 zion-lm
0592 sais
0593 mloadd
0594 informatik-lm
0595 nms
0596 tpdu
0597 rgtp
0598 blueberry-lm
0599 ms-sql-s
059A ms-sql-m
059B ibm-cics
059C saism
059D tabula
059E eicon-server
059F eicon-x25
05A0 eicon-slp
05A1 cadis-1
05A2 cadis-2
05A3 ies-lm
05A4 marcam-lm
05A5 proxima-lm
05A6 ora-lm
05A7 apri-lm
05A8 oc-lm
05A9 peport
05AA dwf
05AB infoman
05AC gtegsc-lm
05AD genie-lm
05AE interhdl_elmd
05AF esl-lm
05B0 dca
05B1 valisys-lm
05B2 nrcabq-lm
05B3 proshare1
05B4 proshare2
05B5 ibm_wrless_lan
05B6 world-lm
05B7 nucleus
05B8 msl_lmd
05B9 pipes
05BA oceansoft-lm
05BB csdmbase
05BC csdm
05BD aal-lm
05BE uaiact
05BF csdmbase
05C0 csdm
05C1 openmath
05C2 telefinder
05C3 taligent-lm
05C4 clvm-cfg
05C5 ms-sna-server
05C6 ms-sna-base
05C7 dberegister
05C8 pacerforum
05C9 airs
05CA miteksys-lm
05CB afs
05CC confluent
05CD lansource
05CE nms_topo_serv
05CF localinfosrvr
05D0 docstor
05D1 dmdocbroker
05D2 insitu-conf
05D3 anynetgateway
05D4 stone-design-1
05D5 netmap_lm
05D6 ica
05D7 cvc
05D8 liberty-lm
05D9 rfx-lm
05DA sybase-sqlany
05DB fhc
05DC vlsi-lm
05DD saiscm
05DE shivadiscovery
05DF imtc-mcs
05E0 evb-elm
05E1 funkproxy
05E2 utcd
05E3 symplex
05E4 diagmond
05E5 robcad-lm
05E6 mvx-lm
05E7 3l-l1
05E8 wins
05E9 fujitsu-dtc
05EA fujitsu-dtcns
05EB ifor-protocol
05EC vpad
05ED vpac
05EE vpvd
05EF vpvc
05F0 atm-zip-office
05F1 ncube-lm
05F2 ricardo-lm
05F3 cichild-lm
05F4 ingreslock
05F5 orasrv
05F6 pdap-np
05F7 tlisrv
05F8 mciautoreg
05F9 coauthor
05FA rap-service
05FB rap-listen
05FC miroconnect
05FD virtual-places
05FE micromuse-lm
05FF ampr-info
0600 ampr-inter
0601 sdsc-lm
0602 3ds-lm
0603 intellistor-lm
0604 rds
0605 rds2
0606 gridgen-elmd
0607 simba-cs
0608 aspeclmd
0609 vistium-share
060A abbaccuray
060B laplink
060C axon-lm
060D shivasound
060E 3m-image-lm
060F hecmtl-db
0610 pciarray
0611 sna-cs
0612 caci-lm
0613 livelan
0614 ashwin
0615 arbortext-lm
0616 xingmpeg
0617 web2host
0618 asci-val
0619 facilityview
061A pconnectmgr
061B cadabra-lm
061C pay-per-view
061D winddlb
061E corelvideo
061F jlicelmd
0620 tsspmap
0621 ets
0622 orbixd
0623 rdb-dbs-disp
0624 chip-lm
0625 itscomm-ns
0626 mvel-lm
0627 oraclenames
0628 moldflow-lm
0629 hypercube-lm
062A jacobus-lm
062B ioc-sea-lm
062C tn-tl-r2
062D mil-2045-47001
062E msims
062F simbaexpress
0630 tn-tl-fd2
0631 intv
0632 ibm-abtact
0633 pra_elmd
0634 triquest-lm
0635 vqp
0636 gemini-lm
0637 ncpm-pm
0638 commonspace
0639 mainsoft-lm
063A sixtrak
063B radio
063C radio-bc
063D orbplus-iiop
063E picknfs
063F simbaservices
0641 aas
0642 inspect
0643 picodbc
0644 icabrowser
0645 slp
0646 slm-api
0647 stt
0648 smart-lm
0649 isysg-lm
064A taurus-wh
064B ill
064C netbill-trans
064D netbill-keyrep
064E netbill-cred
064F netbill-auth
0650 netbill-prod
0651 nimrod-agent
0652 skytelnet
0653 xs-openstorage
0654 faxportwinport
0655 softdataphone
0656 ontime
0657 jaleosnd
0658 udp-sr-port
0659 svs-omagent
065A shockwave
065B t128-gateway
065C lontalk-norm
065D lontalk-urgnt
065E oraclenet8cman
065F visitview
0660 pammratc
0661 pammrpc
0662 loaprobe
0663 edb-server1
0664 cncp
0665 cnap
0666 cnip
0667 cert-initiator
0668 cert-responder
0669 invision
066A isis-am
066B isis-ambc
066D datametrics
066E sa-msg-port
066F rsap
0670 concurrent-lm
0671 kermit
0672 nkd
0673 shiva_confsrvr
0674 xnmp
0675 alphatech-lm
0676 stargatealerts
0677 dec-mbadmin
0678 dec-mbadmin-h
0679 fujitsu-mmpdc
067A sixnetudr
067B sg-lm
067C skip-mc-gikreq
067D netview-aix-1
067E netview-aix-2
067F netview-aix-3
0680 netview-aix-4
0681 netview-aix-5
0682 netview-aix-6
0683 netview-aix-7
0684 netview-aix-8
0685 netview-aix-9
0686 netview-aix-10
0687 netview-aix-11
0688 netview-aix-12
0689 proshare-mc-1
068A proshare-mc-2
068B pdp
068C netcomm2
068D groupwise
068E prolink
068F darcorp-lm
0690 microcom-sbp
0691 sd-elmd
0692 lanyon-lantern
0693 ncpm-hip
0694 snaresecure
0695 n2nremote
0696 cvmon
0697 nsjtp-ctrl
0698 nsjtp-data
0699 firefox
069A ng-umds
069B empire-empuma
069C sstsys-lm
069D rrirtr
069E rrimwm
069F rrilwm
06A0 rrifmm
06A1 rrisat
06A2 rsvp-encap-1
06A3 rsvp-encap-2
06A4 mps-raft
06A5 l2f
06A6 deskshare
06A7 hb-engine
06A8 bcs-broker
06A9 slingshot
06AA jetform
06AB vdmplay
06AC gat-lmd
06AD centra
06AE impera
06AF pptconference
06B0 registrar
06B1 conferencetalk
06B2 sesi-lm
06B3 houdini-lm
06B4 xmsg
06B5 fj-hdnet
06B6 h323gatedisc
06B7 h323gatestat
06B8 h323hostcall
06B9 caicci
06BA hks-lm
06BB pptp
06BC csbphonemaster
06BD iden-ralp
06BE iberiagames
06BF winddx
06C0 telindus
06C1 citynl
06C2 roketz
06C3 msiccp
06C4 proxim
06C5 siipat
06C6 cambertx-lm
06C7 privatechat
06C8 street-stream
06C9 ultimad
06CA gamegen1
06CB webaccess
06CC encore
06CD cisco-net-mgmt
06CE 3Com-nsd
06CF cinegrfx-lm
06D0 ncpm-ft
06D1 remote-winsock
06D2 ftrapid-1
06D3 ftrapid-2
06D4 oracle-em1
06D5 aspen-services
06D6 sslp
06D7 swiftnet
06D8 lofr-lm
06D9 translogic-lm
06DA oracle-em2
06DB ms-streaming
06DC capfast-lmd
06DD cnhrp
06DE tftp-mcast
06DF spss-lm
06E0 www-ldap-gw
06E1 cft-0
06E2 cft-1
06E3 cft-2
06E4 cft-3
06E5 cft-4
06E6 cft-5
06E7 cft-6
06E8 cft-7
06E9 bmc-net-adm
06EA bmc-net-svc
06EB vaultbase
06EC essweb-gw
06ED kmscontrol
06EE global-dtserv
06F0 femis
06F1 powerguardian
06F2 prodigy-intrnet
06F3 pharmasoft
06F4 dpkeyserv
06F5 answersoft-lm
06F6 hp-hcip
06F8 finle-lm
06F9 windlm
06FA funk-logger
06FB funk-license
06FC psmond
06FD hello
06FE nmsp
06FF ea1
0700 ibm-dt-2
0701 rsc-robot
0702 cera-bcm
0703 dpi-proxy
0704 vocaltec-admin
0705 uma
0706 etp
0707 netrisk
0708 ansys-lm
0709 msmq
070A concomp1
070B hp-hcip-gwy
070C enl
070D enl-name
070E musiconline
070F fhsp
0710 oracle-vp2
0711 oracle-vp1
0712 jerand-lm
0713 scientia-sdb
0714 radius
0715 radius-acct
0716 tdp-suite
0717 mmpft
0718 harp
0719 rkb-oscs
071A etftp
071B plato-lm
071C mcagent
071D donnyworld
071E es-elmd
071F unisys-lm
0720 metrics-pas
0721 direcpc-video
0722 ardt
0723 asi
0724 itm-mcell-u
0725 optika-emedia
0726 net8-cman
0727 myrtle
0728 tht-treasure
0729 udpradio
072A ardusuni
072B ardusmul
072C ste-smsc
072D csoft1
072E talnet
072F netopia-vo1
0730 netopia-vo2
0731 netopia-vo3
0732 netopia-vo4
0733 netopia-vo5
0734 direcpc-dll
0735 altalink
0736 tunstall-pnc
0737 slp-notify
0738 fjdocdist
0739 alpha-sms
073A gsi
073B ctcd
073C virtual-time
073D vids-avtp
073E buddy-draw
073F fiorano-rtrsvc
0740 fiorano-msgsvc
0741 datacaptor
0742 privateark
0743 gammafetchsvr
0744 sunscalar-svc
0745 lecroy-vicp
0746 techra-server
0747 msnp
0748 paradym-31port
0749 entp
074A swrmi
074B udrive
074C viziblebrowser
074D yestrader
074E sunscalar-dns
074F canocentral0
0750 canocentral1
0751 fjmpjps
0752 fjswapsnp
0753 westell-stats
0754 ewcappsrv
0755 hp-webqosdb
0759 ibm-mqseries2
0767 vista-4gl
076B mc2studios
076C ssdp
076D fjicl-tep-a
076E fjicl-tep-b
076F linkname
0770 fjicl-tep-c
0771 sugp
0772 tpmd
0773 intrastar
0774 dawn
0775 global-wlink
0776 ultrabac
0777 mtp
0778 rhp-iibp
0779 armadp
077A elm-momentum
077B facelink
077C persona
077D noagent
077E can-nds
077F can-dch
0780 can-ferret
0781 noadmin
0782 tapestry
0783 spice
0784 xiip
078A driveappserver
078B amdsched
0795 dic-aida
0798 close-combat
0799 dialogic-elmd
079A tekpls
079B hlserver
079C eye2eye
079D ismaeasdaqlive
079E ismaeasdaqtest
079F bcs-lmserver
07A0 mpnjsc
07A1 rapidbase
07A5 unix-status
07A9 bts-appserver
07AA biap-mp
07AB webmachine
07AC solid-e-engine
07AD tivoli-npm
07AE slush
07AF sns-quote
07B4 intersys-cache
07B5 dlsrap
07B6 drp
07B7 tcoflashagent
07B8 tcoregagent
07B9 tcoaddressbook
07BA unisql
07BB unisql-java
07C0 bb
07C1 hsrp
07C2 licensedaemon
07C3 tr-rsrb-p1
07C4 tr-rsrb-p2
07C5 mshnet
07C6 stun-p1
07C7 stun-p2
07C8 ipsendmsg
07C9 snmp-tcp-port
07CA stun-port
07CB perf-port
07CC tr-rsrb-port
07CD gdp-port
07CE x25-svc-port
07CF tcp-id-port
07D1 wizard
07D4 emce
07D6 raid-cc
07FA isis
07FB isis-bcast
0801 nfs
0811 dlsrpn
0813 dlswpn
0827 eli
0829 sep
082A lrp
082B prp
082C descent3
082D nbx-cc
082E nbx-au
082F nbx-ser
0830 nbx-dir
0831 jetformpreview
0832 dialog-port
0833 h2250-annex-g
0834 amiganetfs
0835 rtcm-sc104
0836 zephyr-srv
0837 zephyr-clt
0838 zephyr-hm
0839 minipay
083A mzap
083B bintec-admin
083C comcam
083D ergolight
083E umsp
083F dsatp
